nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.4732
  Stage 2 epoch:    3
  Dropout updated to 0.3

Total steps: 245690, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch 14900/24569 | loss 4.6608 | grad 1.891 | lr 4.96e-05
  batch 15000/24569 | loss 4.6173 | grad 2.087 | lr 4.96e-05
  batch 15100/24569 | loss 4.4745 | grad 2.069 | lr 4.96e-05
  batch 15200/24569 | loss 4.5848 | grad 1.957 | lr 4.96e-05
  batch 15300/24569 | loss 4.5210 | grad 1.952 | lr 4.96e-05
  batch 15400/24569 | loss 4.9009 | grad 1.772 | lr 4.96e-05
  batch 15500/24569 | loss 4.8161 | grad 1.946 | lr 4.95e-05
  batch 15600/24569 | loss 4.5752 | grad 1.960 | lr 4.95e-05
  batch 15700/24569 | loss 4.8939 | grad 2.170 | lr 4.95e-05
  batch 15800/24569 | loss 4.6837 | grad 1.910 | lr 4.95e-05
  batch 15900/24569 | loss 4.9357 | grad 2.195 | lr 4.95e-05
  batch 16000/24569 | loss 4.5507 | grad 1.793 | lr 4.95e-05
  batch 16100/24569 | loss 4.8945 | grad 1.780 | lr 4.95e-05
  batch 16200/24569 | loss 4.9921 | grad 1.999 | lr 4.95e-05
  batch 16300/24569 | loss 4.6273 | grad 2.191 | lr 4.95e-05
  batch 16400/24569 | loss 4.6950 | grad 2.166 | lr 4.95e-05
  batch 16500/24569 | loss 4.5290 | grad 1.990 | lr 4.95e-05
  batch 16600/24569 | loss 4.4828 | grad 1.991 | lr 4.95e-05
  batch 16700/24569 | loss 4.5914 | grad 2.091 | lr 4.95e-05
  batch 16800/24569 | loss 4.6855 | grad 2.152 | lr 4.95e-05
  batch 16900/24569 | loss 4.5736 | grad 1.961 | lr 4.95e-05
  batch 17000/24569 | loss 4.4292 | grad 2.179 | lr 4.95e-05
  batch 17100/24569 | loss 4.7764 | grad 1.942 | lr 4.94e-05
  batch 17200/24569 | loss 4.6932 | grad 2.845 | lr 4.94e-05
  batch 17300/24569 | loss 4.7741 | grad 2.439 | lr 4.94e-05
  batch 17400/24569 | loss 4.6508 | grad 2.247 | lr 4.94e-05
  batch 17500/24569 | loss 4.6057 | grad 1.877 | lr 4.94e-05
  batch 17600/24569 | loss 4.7584 | grad 2.006 | lr 4.94e-05
  batch 17700/24569 | loss 4.7255 | grad 2.043 | lr 4.94e-05
  batch 17800/24569 | loss 4.8844 | grad 2.627 | lr 4.94e-05
  batch 17900/24569 | loss 4.9633 | grad 2.339 | lr 4.94e-05
  batch 18000/24569 | loss 4.5334 | grad 1.985 | lr 4.94e-05
  batch 18100/24569 | loss 4.7329 | grad 2.654 | lr 4.94e-05
  batch 18200/24569 | loss 4.7992 | grad 2.146 | lr 4.94e-05
  batch 18300/24569 | loss 4.7371 | grad 2.087 | lr 4.94e-05
  batch 18400/24569 | loss 4.8457 | grad 2.075 | lr 4.94e-05
  batch 18500/24569 | loss 4.3898 | grad 1.976 | lr 4.94e-05
  batch 18600/24569 | loss 4.7608 | grad 1.848 | lr 4.93e-05
  batch 18700/24569 | loss 4.6263 | grad 1.955 | lr 4.93e-05
  batch 18800/24569 | loss 4.7097 | grad 2.023 | lr 4.93e-05
  batch 18900/24569 | loss 4.7573 | grad 1.944 | lr 4.93e-05
  batch 19000/24569 | loss 4.7576 | grad 1.999 | lr 4.93e-05
  batch 19100/24569 | loss 4.7308 | grad 1.921 | lr 4.93e-05
  batch 19200/24569 | loss 4.7104 | grad 2.195 | lr 4.93e-05
  batch 19300/24569 | loss 4.7292 | grad 1.939 | lr 4.93e-05
  batch 19400/24569 | loss 4.6275 | grad 2.172 | lr 4.93e-05
  batch 19500/24569 | loss 4.4812 | grad 1.957 | lr 4.93e-05
  batch 19600/24569 | loss 4.6015 | grad 2.040 | lr 4.93e-05
  batch 19700/24569 | loss 4.7411 | grad 1.908 | lr 4.93e-05
  batch 19800/24569 | loss 4.4259 | grad 2.220 | lr 4.93e-05
  batch 19900/24569 | loss 4.7602 | grad 1.984 | lr 4.92e-05
  batch 20000/24569 | loss 4.6427 | grad 1.854 | lr 4.92e-05
  batch 20100/24569 | loss 4.5351 | grad 1.851 | lr 4.92e-05
  batch 20200/24569 | loss 4.7979 | grad 2.460 | lr 4.92e-05
  batch 20300/24569 | loss 4.5969 | grad 1.857 | lr 4.92e-05
  batch 20400/24569 | loss 4.5121 | grad 1.993 | lr 4.92e-05
  batch 20500/24569 | loss 4.4802 | grad 1.897 | lr 4.92e-05
  batch 20600/24569 | loss 4.7814 | grad 1.904 | lr 4.92e-05
  batch 20700/24569 | loss 4.4023 | grad 2.022 | lr 4.92e-05
  batch 20800/24569 | loss 4.6027 | grad 2.014 | lr 4.92e-05
  batch 20900/24569 | loss 4.5517 | grad 2.055 | lr 4.92e-05
  batch 21000/24569 | loss 4.4577 | grad 2.128 | lr 4.92e-05
  batch 21100/24569 | loss 4.6095 | grad 1.943 | lr 4.92e-05
  batch 21200/24569 | loss 4.4010 | grad 2.317 | lr 4.91e-05
  batch 21300/24569 | loss 4.6360 | grad 2.529 | lr 4.91e-05
  batch 21400/24569 | loss 4.5804 | grad 2.101 | lr 4.91e-05
  batch 21500/24569 | loss 4.4323 | grad 2.143 | lr 4.91e-05
  batch 21600/24569 | loss 4.4488 | grad 1.882 | lr 4.91e-05
  batch 21700/24569 | loss 4.5266 | grad 1.800 | lr 4.91e-05
  batch 21800/24569 | loss 4.8420 | grad 2.010 | lr 4.91e-05
  batch 21900/24569 | loss 4.8087 | grad 2.071 | lr 4.91e-05
  batch 22000/24569 | loss 4.6329 | grad 2.348 | lr 4.91e-05
  batch 22100/24569 | loss 4.5900 | grad 1.933 | lr 4.91e-05
  batch 22200/24569 | loss 4.8137 | grad 2.188 | lr 4.91e-05
  batch 22300/24569 | loss 4.6850 | grad 1.915 | lr 4.91e-05
  batch 22400/24569 | loss 4.5557 | grad 1.862 | lr 4.90e-05
  batch 22500/24569 | loss 4.6431 | grad 2.056 | lr 4.90e-05
  batch 22600/24569 | loss 4.5172 | grad 1.997 | lr 4.90e-05
  batch 22700/24569 | loss 4.5193 | grad 1.916 | lr 4.90e-05
  batch 22800/24569 | loss 4.7341 | grad 2.113 | lr 4.90e-05
  batch 22900/24569 | loss 4.7301 | grad 1.965 | lr 4.90e-05
  batch 23000/24569 | loss 4.7378 | grad 2.109 | lr 4.90e-05
  batch 23100/24569 | loss 4.6955 | grad 2.160 | lr 4.90e-05
  batch 23200/24569 | loss 4.4120 | grad 1.955 | lr 4.90e-05
  batch 23300/24569 | loss 4.5072 | grad 2.014 | lr 4.90e-05
  batch 23400/24569 | loss 4.4315 | grad 1.803 | lr 4.90e-05
