nohup: ignoring input
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 2: Building dataset
============================================================

Loading aligned chunk data...
  Loaded 1501124 examples from arxiv_aligned.jsonl
  Loaded 777318 examples from pubmed_aligned.jsonl
  Total aligned chunks: 2278442

Loading second-pass examples...
  Loaded 315737 examples from second_pass.jsonl

Loading CNN/DailyMail anchor data...
  CNN/DM anchor samples: 287113

Building validation set (first chunk per paper, no augment)...

  Chunk examples    : 2278442
  Second-pass       : 315737
  Anchor (CNN/DM)   : 287113
  Val (first chunk) : 5000
  Train steps/epoch : 60000
  Val batches       : 313
  Batch composition : 9 chunk + 4 second-pass + 3 anchor = 16
Model built — 32,413,184 trainable parameters

Loading Stage 1 checkpoint: checkpoints/stage1_best.pt
  Stage 1 val loss: 3.7116
  Stage 1 epoch:    15
  Dropout updated to 0.15

Total steps: 480000, Warmup: 4000

Reference: additive models play an important role in semiparametric statistics . 
 this paper gives learning rates for regularized kernel based methods for additive models . 
 these learning rates compare favour
============================================================
  batch 31000/60000 | loss 4.2591 | grad 1.690 | lr 9.92e-05
  batch 31200/60000 | loss 4.2292 | grad 1.753 | lr 9.92e-05
  batch 31400/60000 | loss 4.1268 | grad 1.543 | lr 9.92e-05
  batch 31600/60000 | loss 4.0680 | grad 1.623 | lr 9.92e-05
  batch 31800/60000 | loss 4.3054 | grad 1.659 | lr 9.92e-05
  batch 32000/60000 | loss 4.1152 | grad 1.550 | lr 9.92e-05
  batch 32200/60000 | loss 3.9534 | grad 1.669 | lr 9.91e-05
  batch 32400/60000 | loss 4.1211 | grad 1.601 | lr 9.91e-05
  batch 32600/60000 | loss 4.1869 | grad 1.619 | lr 9.91e-05
  batch 32800/60000 | loss 4.2045 | grad 1.445 | lr 9.91e-05
  batch 33000/60000 | loss 4.1960 | grad 1.661 | lr 9.91e-05
  batch 33200/60000 | loss 4.2671 | grad 1.973 | lr 9.91e-05
  batch 33400/60000 | loss 4.0345 | grad 1.584 | lr 9.91e-05
  batch 33600/60000 | loss 3.9011 | grad 1.471 | lr 9.91e-05
  batch 33800/60000 | loss 4.1119 | grad 1.756 | lr 9.90e-05
  batch 34000/60000 | loss 4.1256 | grad 1.580 | lr 9.90e-05
  batch 34200/60000 | loss 4.1689 | grad 1.572 | lr 9.90e-05
  batch 34400/60000 | loss 4.1042 | grad 1.633 | lr 9.90e-05
  batch 34600/60000 | loss 3.7518 | grad 1.748 | lr 9.90e-05
  batch 34800/60000 | loss 4.1344 | grad 3.949 | lr 9.90e-05
  batch 35000/60000 | loss 4.0489 | grad 1.554 | lr 9.90e-05
  batch 35200/60000 | loss 3.9273 | grad 1.373 | lr 9.90e-05
  batch 35400/60000 | loss 4.0773 | grad 1.453 | lr 9.89e-05
  batch 35600/60000 | loss 3.8607 | grad 1.418 | lr 9.89e-05
  batch 35800/60000 | loss 4.1167 | grad 2.177 | lr 9.89e-05
  batch 36000/60000 | loss 4.0473 | grad 1.674 | lr 9.89e-05
  batch 36200/60000 | loss 4.1348 | grad 1.468 | lr 9.89e-05
  batch 36400/60000 | loss 4.0615 | grad 1.606 | lr 9.89e-05
  batch 36600/60000 | loss 4.0020 | grad 1.515 | lr 9.89e-05
  batch 36800/60000 | loss 4.0402 | grad 1.587 | lr 9.88e-05
  batch 37000/60000 | loss 4.0352 | grad 1.488 | lr 9.88e-05
  batch 37200/60000 | loss 4.3444 | grad 4.298 | lr 9.88e-05
  batch 37400/60000 | loss 4.2090 | grad 1.747 | lr 9.88e-05
  batch 37600/60000 | loss 4.1848 | grad 1.596 | lr 9.88e-05
  batch 37800/60000 | loss 4.2280 | grad 1.561 | lr 9.88e-05
  batch 38000/60000 | loss 4.1583 | grad 1.810 | lr 9.88e-05
  batch 38200/60000 | loss 3.9138 | grad 1.948 | lr 9.87e-05
  batch 38400/60000 | loss 4.0174 | grad 1.630 | lr 9.87e-05
  batch 38600/60000 | loss 4.1167 | grad 1.567 | lr 9.87e-05
  batch 38800/60000 | loss 4.0115 | grad 2.091 | lr 9.87e-05
  batch 39000/60000 | loss 4.2894 | grad 1.759 | lr 9.87e-05
  batch 39200/60000 | loss 3.9986 | grad 1.572 | lr 9.87e-05
  batch 39400/60000 | loss 4.3103 | grad 1.636 | lr 9.87e-05
  batch 39600/60000 | loss 4.0147 | grad 1.664 | lr 9.86e-05
  batch 39800/60000 | loss 4.0399 | grad 1.624 | lr 9.86e-05
  batch 40000/60000 | loss 4.0409 | grad 1.561 | lr 9.86e-05
  batch 40200/60000 | loss 3.9086 | grad 1.603 | lr 9.86e-05
  batch 40400/60000 | loss 3.9124 | grad 1.574 | lr 9.86e-05
  batch 40600/60000 | loss 4.1539 | grad 1.807 | lr 9.86e-05
  batch 40800/60000 | loss 4.0382 | grad 1.529 | lr 9.85e-05
  batch 41000/60000 | loss 4.2379 | grad 1.376 | lr 9.85e-05
  batch 41200/60000 | loss 4.2911 | grad 2.351 | lr 9.85e-05
  batch 41400/60000 | loss 4.0198 | grad 1.389 | lr 9.85e-05
  batch 41600/60000 | loss 4.1421 | grad 1.726 | lr 9.85e-05
  batch 41800/60000 | loss 4.0314 | grad 1.604 | lr 9.85e-05
  batch 42000/60000 | loss 3.8177 | grad 1.600 | lr 9.85e-05
  batch 42200/60000 | loss 4.0687 | grad 1.811 | lr 9.84e-05
  batch 42400/60000 | loss 4.1737 | grad 1.669 | lr 9.84e-05
  batch 42600/60000 | loss 4.1311 | grad 1.496 | lr 9.84e-05
  batch 42800/60000 | loss 4.0390 | grad 1.504 | lr 9.84e-05
  batch 43000/60000 | loss 4.1917 | grad 1.719 | lr 9.84e-05
  batch 43200/60000 | loss 4.2228 | grad 1.597 | lr 9.84e-05
  batch 43400/60000 | loss 4.3116 | grad 1.675 | lr 9.83e-05
  batch 43600/60000 | loss 4.0460 | grad 1.524 | lr 9.83e-05
  batch 43800/60000 | loss 4.2627 | grad 1.573 | lr 9.83e-05
  batch 44000/60000 | loss 3.9209 | grad 1.619 | lr 9.83e-05
